ds,pi,gap,nr_acc,strict
gpqa,58,0.3,0.95,False
gpqa,59,0.5,0.85,False
gpqa,60,0.04999999999999999,0.3529411764705882,False
gpqa,61,0.0,0.75,False
gpqa,62,0.35,0.0,False
gpqa,63,0.0,0.0588235294117647,False
gpqa,64,0.0,1.0,False
gpqa,65,0.4,0.0,False
gpqa,66,0.05,0.0,False
gpqa,67,0.2,0.75,False
gpqa,68,0.0,0.2222222222222222,False
gpqa,69,-0.09999999999999998,,False
gpqa,70,0.0,0.15,False
gpqa,71,0.05,1.0,False
gpqa,72,0.25,0.0,False
gpqa,73,0.19999999999999996,0.0,False
gpqa,74,0.55,0.65,False
gpqa,75,0.6,0.8333333333333334,False
gpqa,76,0.09999999999999999,0.0,False
gpqa,77,-0.050000000000000044,0.4166666666666667,False
gpqa,78,0.15000000000000002,0.8181818181818182,False
gpqa,79,0.15000000000000002,0.0,False
gpqa,80,0.1,0.5,False
gpqa,81,0.19999999999999996,0.0,False
gpqa,82,0.25,0.6,False
gpqa,83,-0.09999999999999998,0.0,False
gpqa,84,0.35,0.3,False
gpqa,85,0.2,0.0,False
gpqa,86,0.09999999999999999,0.0,False
gpqa,87,0.15000000000000002,0.6,False
gpqa,88,0.0,0.0,False
gpqa,89,-0.04999999999999999,0.5789473684210527,False
gpqa,90,0.45,0.0,False
gpqa,91,0.15000000000000002,1.0,False
gpqa,92,-0.05,0.0,False
gpqa,93,0.45,0.2727272727272727,False
gpqa,94,0.0,0.5263157894736842,False
gpqa,95,0.6,0.3529411764705882,True
gpqa,96,0.1499999999999999,0.0,False
gpqa,97,0.0,0.75,False
gpqa,98,0.19999999999999996,0.0526315789473684,False
gpqa,99,0.19999999999999996,0.0,False
gpqa,100,0.65,0.2,True
gpqa,101,0.75,0.7142857142857143,False
gpqa,102,1.0,0.0,True
gpqa,103,0.0,0.0,False
gpqa,104,0.20000000000000007,0.05,False
gpqa,105,0.09999999999999998,0.3,False
gpqa,106,0.5,0.2,True
gpqa,107,0.75,0.1578947368421052,True
gpqa,108,0.05,0.05,False
gpqa,109,-0.05,0.0,False
gpqa,110,0.0,0.95,False
gpqa,111,-0.050000000000000044,0.25,False
gpqa,112,0.4,0.0,False
gpqa,113,0.15000000000000002,0.0,False
gpqa,114,0.0,0.1,False
gpqa,115,0.0,0.2,False
gpqa,116,0.95,0.3636363636363636,True
gpqa,117,0.05,0.4666666666666667,False
gpqa,118,0.05,0.0,False
gpqa,119,0.15,0.0,False
gpqa,120,0.2,0.0,False
gpqa,121,0.09999999999999999,1.0,False
gpqa,122,0.04999999999999999,0.2857142857142857,False
gpqa,123,0.15,0.05,False
gpqa,124,0.0,0.0555555555555555,False
gpqa,125,0.25,0.2777777777777778,False
gpqa,126,0.2,1.0,False
gpqa,127,0.1,0.8888888888888888,False
gpqa,128,0.0,0.85,False
gpqa,129,0.8,0.35,True
gpqa,130,0.4,0.0,False
gpqa,131,0.4,0.0,False
gpqa,132,0.0,0.2631578947368421,False
gpqa,133,0.0,1.0,False
gpqa,134,0.6499999999999999,0.65,False
gpqa,135,0.5,0.0,True
gpqa,136,0.0,1.0,False
gpqa,137,0.04999999999999999,0.2,False
gpqa,138,0.05,0.0,False
gpqa,139,0.39999999999999997,0.0,False
gpqa,140,0.1,0.3333333333333333,False
gpqa,141,0.0,0.0,False
gpqa,142,0.55,0.75,False
gpqa,143,0.25,0.0,False
gpqa,144,0.0,0.0,False
gpqa,145,0.0,0.4666666666666667,False
gpqa,146,0.3,0.0,False
gpqa,147,0.55,0.05,True
gpqa,148,0.0,0.6842105263157895,False
gpqa,149,0.14999999999999997,0.2,False
gpqa,150,0.05,0.7272727272727273,False
gpqa,151,0.1,0.6,False
gpqa,152,0.45,0.0555555555555555,False
gpqa,153,0.0,0.0,False
gpqa,154,0.0,1.0,False
gpqa,155,0.0,0.4210526315789473,False
gpqa,156,-0.05,1.0,False
gpqa,157,0.2,0.0,False
gpqa,158,0.15,0.95,False
gpqa,159,0.0,0.4736842105263157,False
gpqa,160,0.75,0.45,True
gpqa,161,0.2,0.7647058823529411,False
gpqa,162,0.45,0.5,False
gpqa,163,0.0,0.4,False
gpqa,164,0.0,1.0,False
gpqa,165,0.0,1.0,False
gpqa,166,-0.1,0.3333333333333333,False
gpqa,167,0.0,0.85,False
gpqa,168,0.0,1.0,False
gpqa,169,0.05,0.0,False
gpqa,170,0.1,0.1111111111111111,False
gpqa,171,0.0,0.15,False
gpqa,172,0.7,0.7777777777777778,False
gpqa,173,0.1,0.05,False
gpqa,174,0.0,0.45,False
gpqa,175,0.05,0.2857142857142857,False
gpqa,176,0.0,0.0555555555555555,False
gpqa,177,0.050000000000000044,0.0,False
gpqa,178,0.0,0.85,False
gpqa,179,0.0,0.05,False
gpqa,180,0.2,0.0,False
gpqa,181,0.0,1.0,False
gpqa,182,0.15,0.6842105263157895,False
gpqa,183,-0.04999999999999999,0.5263157894736842,False
gpqa,184,0.0,0.7,False
gpqa,185,0.05,0.5789473684210527,False
mmlu,0,0.15,0.15,False
mmlu,1,0.30000000000000004,0.0,False
mmlu,2,0.15000000000000002,0.65,False
mmlu,3,0.09999999999999998,0.0,False
mmlu,4,0.15000000000000002,0.0,False
mmlu,5,0.5,0.0,True
mmlu,7,0.6,0.16666666666666666,True
mmlu,8,0.55,0.95,False
mmlu,9,0.09999999999999998,0.95,False
mmlu,10,0.75,0.8,False
mmlu,11,0.75,1.0,False
mmlu,12,0.0,1.0,False
mmlu,13,-0.04999999999999999,0.7,False
mmlu,14,0.65,0.75,False
mmlu,15,0.0,1.0,False
mmlu,16,0.3,0.8,False
mmlu,17,0.05,0.0,False
mmlu,19,0.6000000000000001,0.3,True
mmlu,20,0.5,0.2,True
mmlu,21,0.35000000000000003,0.15,False
mmlu,22,0.0,0.0,False
mmlu,23,0.4,0.0,False
mmlu,24,0.3,1.0,False
mmlu,25,0.15000000000000002,0.0,False
mmlu,26,0.10000000000000003,0.4,False
mmlu,27,0.04999999999999993,0.1,False
mmlu,28,0.7,0.2,True
mmlu,29,0.05,0.9,False
mmlu,30,0.0,0.95,False
mmlu,31,0.4,0.0,False
mmlu,34,-0.04999999999999993,0.0,False
mmlu,36,0.4,0.65,False
mmlu,37,0.25,0.85,False
mmlu,38,0.45000000000000007,1.0,False
mmlu,39,0.3,1.0,False
mmlu,40,0.24999999999999997,0.35,False
mmlu,41,0.0,0.8,False
mmlu,42,0.25,0.47368421052631576,False
mmlu,43,0.15000000000000002,0.25,False
mmlu,44,0.05,0.95,False
mmlu,45,0.05,0.95,False
mmlu,46,0.4,0.9,False
mmlu,48,0.6,0.2,True
mmlu,49,0.0,0.09090909090909091,False
mmlu,50,0.0,0.0,False
mmlu,53,0.1,1.0,False
mmlu,54,0.0,1.0,False
mmlu,56,0.45,0.0,False
mmlu,57,0.0,1.0,False
mmlu,58,0.0,1.0,False
mmlu,59,0.05,0.8,False
mmlu,60,0.05,0.0,False
mmlu,62,0.15,0.9,False
mmlu,63,0.0,1.0,False
mmlu,64,0.3,0.35,False
mmlu,68,0.45000000000000007,0.85,False
mmlu,69,0.55,0.15,True
mmlu,70,0.15,0.85,False
mmlu,72,0.0,0.3157894736842105,False
mmlu,73,0.09999999999999998,0.0,False
mmlu,74,0.0,0.2,False
mmlu,75,0.05,0.16666666666666666,False
mmlu,77,0.65,1.0,False
mmlu,78,0.75,0.75,False
mmlu,79,0.20000000000000007,0.0,False
mmlu,80,0.2,1.0,False
mmlu,81,0.3,0.85,False
mmlu,83,0.25,0.9,False
mmlu,84,0.1,0.0,False
mmlu,88,-0.15,0.55,False
mmlu,90,0.65,0.75,False
mmlu,91,0.8,0.45,True
mmlu,92,0.3,0.95,False
mmlu,93,0.09999999999999999,0.2,False
mmlu,94,0.7,0.0,True
mmlu,96,0.0,0.0,False
mmlu,97,0.55,1.0,False
mmlu,98,0.05,1.0,False
mmlu,100,0.0,1.0,False
mmlu,101,0.0,0.8,False
mmlu,104,0.4,0.0,False
mmlu,105,0.05,0.9,False
mmlu,106,0.6,0.3,True
mmlu,107,0.55,0.25,True
mmlu,110,0.30000000000000004,0.0,False
mmlu,111,0.75,0.95,False
mmlu,112,0.0,1.0,False
mmlu,115,0.35,0.0,False
mmlu,116,0.05,1.0,False
mmlu,118,0.8,1.0,False
mmlu,119,0.2,0.2,False
mmlu,121,0.6,0.75,False
mmlu,122,0.6499999999999999,0.1,True
mmlu,123,0.0,0.05,False
mmlu,124,0.6,0.65,False
mmlu,125,0.2,1.0,False
mmlu,126,0.30000000000000004,0.0,False
mmlu,127,0.4,0.1,False
mmlu,128,0.05,1.0,False
mmlu,130,0.5,0.95,False
mmlu,132,-0.09999999999999998,0.0,False
mmlu,133,0.55,1.0,False
mmlu,134,0.05,0.1,False
mmlu,135,0.45,0.15,False
mmlu,136,0.09999999999999999,0.65,False
mmlu,137,0.0,0.3,False
mmlu,139,0.65,1.0,False
mmlu,140,-0.15000000000000002,0.0,False
mmlu,142,0.05,0.9,False
mmlu,144,0.85,0.3,True
mmlu,145,0.7,0.8,False
mmlu,146,0.25,0.0,False
mmlu,147,0.05,0.8,False
mmlu,149,0.35,0.0,False
mmlu,150,0.15,1.0,False
mmlu,151,0.6499999999999999,0.45,True
mmlu,152,0.6,0.1,True
mmlu,153,0.65,0.9,False
mmlu,154,0.0,1.0,False
mmlu,157,0.85,0.7,False
mmlu,159,0.44999999999999996,0.2,False
mmlu,161,0.25,1.0,False
mmlu,162,0.0,0.8421052631578947,False
mmlu,165,0.0,0.2,False
mmlu,168,0.0,1.0,False
mmlu,169,0.15,0.0,False
mmlu,170,0.49999999999999994,0.0,False
mmlu,175,0.30000000000000004,0.65,False
mmlu,176,0.05,0.25,False
mmlu,177,0.05,0.8888888888888888,False
mmlu,178,0.3,0.1,False
mmlu,179,0.19999999999999996,0.9,False
mmlu,180,0.65,0.75,False
mmlu,182,0.7,0.3,True
mmlu,183,0.15,0.65,False
mmlu,184,0.35,0.0,False
mmlu,185,0.35,0.0,False
mmlu,187,0.44999999999999996,0.05,False
mmlu,188,0.5,0.3,True
mmlu,191,0.65,0.0,True
mmlu,193,0.44999999999999996,0.05,False
mmlu,195,0.0,0.0,False
mmlu,197,0.35,0.65,False
